IS_Number,Title,Section,Year_Notified,ICS_Code,Status,Applicable_To,Scope_Description
IS 4033:1998,Specification for,Civil Engineering,1998,11.043,Active,cement,"Applicable to cement manufactured, tested, or sold"
IS 1274-5:1990,Guidelines for en,Production and G,1990,30.085,Under Revision,engineering draw,Applicable to engineering drawing practices manufa
IS 4085-6:2003,Safety requireme,"Petroleum, Coal",2003,41.011,Under Revision,petroleum solven,"Applicable to petroleum solvents manufactured, tes"
IS 3657-4:1993,Specification for,Transport Engine,1993,34.026,Under Revision,helmets for two w,Applicable to helmets for two wheelers manufacture
IS 340:1990,Specification for,Mechanical Engi,1990,65.041,Active,valves,"Applicable to valves manufactured, tested, or sold i"
IS 4120-3:2022,Methods of test f,"Petroleum, Coal",2022,41.047,Under Revision,petroleum solven,"Applicable to petroleum solvents manufactured, tes"
IS 3683-6:2019,Code of practice,Transport Engine,2019,49.036,Withdrawn,aircraft ground eq,Applicable to aircraft ground equipment manufactur
IS 373-4:1995,Methods of test f,Mechanical Engi,1995,19.064,Withdrawn,machine tools,"Applicable to machine tools manufactured, tested, o"
IS 3661-2:2005,Specification for,Transport Engine,2005,71.011,Active,bicycle compone,"Applicable to bicycle components manufactured, te"
IS 3660-3:2012,Safety requireme,Transport Engine,2012,53.074,Active,commercial vehic,Applicable to commercial vehicle bodies manufactu
IS 1846-6:1997,Methods of test f,Water Resources,1997,63.08,Active,water pipes and,Applicable to water pipes and fittings manufactured
IS 1854-6:2017,Sampling and tes,Water Resources,2017,30.098,Withdrawn,desalination equ,Applicable to desalination equipment manufactured
IS 363-6:1999,Code of practice,Mechanical Engi,1999,53.024,Withdrawn,hand tools,"Applicable to hand tools manufactured, tested, or s"
IS 346:2002,Specification for,Mechanical Engi,2002,94.083,Active,boilers,"Applicable to boilers manufactured, tested, or sold"
IS 3947-4:2023,Guidelines for wo,Textile,2023,85.026,Active,wool products,"Applicable to wool products manufactured, tested, o"
IS 1249-6:2001,Classification an,Production and G,2001,27.035,Under Revision,storage racking s,Applicable to storage racking systems manufacture
IS 1913-3:1996,Code of practice,Chemical,1996,19.054,Active,cleaning agents,"Applicable to cleaning agents manufactured, tested"
IS 1239-6:2023,Safety requireme,Production and G,2023,27.059,Under Revision,storage racking s,Applicable to storage racking systems manufacture
IS 469-5:2010,Safety requireme,Management and,2010,18.084,Active,environmental m,Applicable to environmental management systems
IS 3670:2002,General requirem,Transport Engine,2002,28.077,Active,automotive glass,"Applicable to automotive glass manufactured, teste"
IS 371-4:2009,Guidelines for bo,Mechanical Engi,2009,94.099,Active,boilers,"Applicable to boilers manufactured, tested, or sold"
IS 3947-6:1991,Sampling and tes,Textile,1991,83.09,Active,synthetic fibres,"Applicable to synthetic fibres manufactured, tested,"
IS 368:2020,Guidelines for m,Mechanical Engi,2020,19.032,Withdrawn,machine tools,"Applicable to machine tools manufactured, tested, o"
IS 1819-3:2012,Specification for,Water Resources,2012,30.064,Withdrawn,desalination equ,Applicable to desalination equipment manufactured
IS 3801-3:2018,General requirem,Medical Equipme,2018,99.018,Active,disposable syring,"Applicable to disposable syringes manufactured, te"
IS 1253-6:2015,Code of practice,Production and G,2015,85.041,Active,fire extinguishers,"Applicable to fire extinguishers manufactured, teste"
IS 1780-5:1996,Performance req,Food and Agricu,1996,96.057,Withdrawn,tea,"Applicable to tea manufactured, tested, or sold in In"
IS 1908-4:2005,Code of practice,Chemical,2005,27.058,Active,cosmetics,"Applicable to cosmetics manufactured, tested, or so"
IS 353-2:2023,Code of practice,Mechanical Engi,2023,48.063,Withdrawn,hydraulic cylinde,"Applicable to hydraulic cylinders manufactured, tes"
IS 800-3:2000,Specification for,Electrotechnical,2000,73.062,Active,switches and soc,"Applicable to switches and sockets manufactured, t"
IS 4040-2:2005,Specification for,Civil Engineering,2005,86.061,Active,reinforcement ba,"Applicable to reinforcement bars manufactured, tes"
IS 3664:2010,General requirem,Transport Engine,2010,40.084,Active,automotive tyres,"Applicable to automotive tyres manufactured, teste"
IS 3913-2:2019,Performance req,Textile,2019,74.056,Under Revision,technical textiles,"Applicable to technical textiles manufactured, teste"
IS 1912-2:2015,Code of practice,Chemical,2015,70.05,Active,surface coatings,"Applicable to surface coatings manufactured, tested"
IS 2974-5:2022,Safety requireme,Electronics and I,2022,12.091,Active,information techn,Applicable to information technology equipment saf
IS 2998-5:1992,Guidelines for po,Electronics and I,1992,31.04,Active,power adapters,"Applicable to power adapters manufactured, tested"
IS 1266:2014,Methods of test f,Production and G,2014,22.011,Active,packaging mater,"Applicable to packaging materials manufactured, te"
IS 1843-3:2022,Methods of test f,Water Resources,2022,64.011,Under Revision,water pumps for,Applicable to water pumps for irrigation manufactur
IS 591-3:2016,Methods of test f,Metallurgical Eng,2016,30.048,Active,stainless steel sh,"Applicable to stainless steel sheets manufactured,"
IS 1920-6:2019,Guidelines for ru,Chemical,2019,70.027,Under Revision,rubber products,"Applicable to rubber products manufactured, tested"
IS 378-3:2000,Methods of test f,Mechanical Engi,2000,53.038,Withdrawn,hand tools,"Applicable to hand tools manufactured, tested, or s"
IS 1742-5:1994,Classification an,Food and Agricu,1994,10.018,Active,edible vegetable,"Applicable to edible vegetable oils manufactured, te"
IS 4060-2:2009,Quality requirem,Civil Engineering,2009,86.032,Active,reinforcement ba,"Applicable to reinforcement bars manufactured, tes"
IS 1757-6:1993,General requirem,Food and Agricu,1993,62.017,Active,wheat flour,"Applicable to wheat flour manufactured, tested, or s"
IS 382:2018,Safety requireme,Mechanical Engi,2018,69.042,Under Revision,gears and gearbo,"Applicable to gears and gearboxes manufactured, t"
IS 4112-3:1996,Guidelines for gr,"Petroleum, Coal",1996,96.013,Active,grease,"Applicable to grease manufactured, tested, or sold"
IS 812:2016,Classification an,Electrotechnical,2016,96.086,Withdrawn,batteries and cel,"Applicable to batteries and cells manufactured, test"
IS 1783-6:2003,Safety requireme,Food and Agricu,2003,10.022,Active,spices and condi,Applicable to spices and condiments manufactured
IS 441:2002,Code of practice,Management and,2002,65.077,Under Revision,food safety mana,Applicable to food safety management systems ma
IS 1256-3:2004,Code of practice,Production and G,2004,39.078,Active,safety helmets,"Applicable to safety helmets manufactured, tested,"
IS 3003-6:1999,Quality requirem,Electronics and I,1999,43.023,Active,biometric devices,"Applicable to biometric devices manufactured, teste"
IS 4109-6:1999,Guidelines for liq,"Petroleum, Coal",1999,24.014,Active,liquefied petroleu,Applicable to liquefied petroleum gas manufactured
IS 3686-5:1998,Guidelines for bic,Transport Engine,1998,71.049,Active,bicycle compone,"Applicable to bicycle components manufactured, te"
IS 3948:2020,Sampling and tes,Textile,2020,86.056,Under Revision,textile dyeing me,"Applicable to textile dyeing methods manufactured,"
IS 580-6:2021,General requirem,Metallurgical Eng,2021,34.037,Active,steel tubes and p,"Applicable to steel tubes and pipes manufactured, t"
IS 1911-3:2010,General requirem,Chemical,2010,16.057,Withdrawn,petrochemical int,Applicable to petrochemical intermediates manufac
IS 1927:2012,Performance req,Chemical,2012,85.024,Active,paints and varnis,"Applicable to paints and varnishes manufactured, te"
IS 4125-2:1993,Methods of test f,"Petroleum, Coal",1993,40.01,Under Revision,petroleum jelly,"Applicable to petroleum jelly manufactured, tested,"
IS 1763-6:2013,Guidelines for sp,Food and Agricu,2013,10.028,Active,spices and condi,Applicable to spices and condiments manufactured
IS 428-6:1995,Specification for,Management and,1995,50.092,Active,information secu,Applicable to information security management ma
IS 3833:2012,Sampling and tes,Medical Equipme,2012,67.066,Withdrawn,hospital furniture,"Applicable to hospital furniture manufactured, teste"
IS 469-5:1996,Safety requireme,Management and,1996,18.084,Active,environmental m,Applicable to environmental management systems
IS 432-2:1991,Classification an,Management and,1991,25.086,Withdrawn,energy managem,Applicable to energy management systems manufa
IS 1914-4:1991,Code of practice,Chemical,1991,77.089,Active,insecticides,"Applicable to insecticides manufactured, tested, or"
IS 1896-6:1995,Safety requireme,Chemical,1995,16.041,Withdrawn,petrochemical int,Applicable to petrochemical intermediates manufac
IS 372-3:2008,Methods of test f,Mechanical Engi,2008,72.053,Under Revision,welding electrode,"Applicable to welding electrodes manufactured, tes"
IS 590-4:1997,Guidelines for fe,Metallurgical Eng,1997,25.022,Active,ferro alloys,"Applicable to ferro alloys manufactured, tested, or s"
IS 1745-2:1997,Classification an,Food and Agricu,1997,96.024,Withdrawn,tea,"Applicable to tea manufactured, tested, or sold in In"
IS 3666-3:1998,General requirem,Transport Engine,1998,25.053,Active,automotive lightin,"Applicable to automotive lighting manufactured, tes"
IS 2996:2014,Code of practice,Electronics and I,2014,42.015,Withdrawn,semiconductor d,Applicable to semiconductor devices manufactured
IS 3958-5:1996,Sampling and tes,Textile,1996,74.074,Under Revision,technical textiles,"Applicable to technical textiles manufactured, teste"
IS 1248-5:2000,Classification an,Production and G,2000,22.074,Active,material handling,Applicable to material handling equipment manufac
IS 3910:2004,Specification for,Textile,2004,94.076,Active,cotton yarn,"Applicable to cotton yarn manufactured, tested, or s"
IS 381-4:1995,Sampling and tes,Mechanical Engi,1995,94.049,Active,boilers,"Applicable to boilers manufactured, tested, or sold"
IS 429-3:2006,Safety requireme,Management and,2006,17.025,Active,asset manageme,Applicable to asset management systems manufac
IS 3018-3:1994,Sampling and tes,Electronics and I,1994,43.02,Active,biometric devices,"Applicable to biometric devices manufactured, teste"
IS 446-2:2009,General requirem,Management and,2009,74.04,Under Revision,hazard analysis a,Applicable to hazard analysis and critical control po
IS 594-6:1999,Methods of test f,Metallurgical Eng,1999,98.098,Active,copper wire rods,"Applicable to copper wire rods manufactured, teste"
IS 4123-4:2009,Sampling and tes,"Petroleum, Coal",2009,60.046,Active,kerosene,"Applicable to kerosene manufactured, tested, or so"
IS 4068-4:2003,Sampling and tes,Civil Engineering,2003,11.029,Active,cement,"Applicable to cement manufactured, tested, or sold"
IS 1766-5:1998,Quality requirem,Food and Agricu,1998,44.06,Active,honey,"Applicable to honey manufactured, tested, or sold i"
IS 1848-4:2015,Performance req,Water Resources,2015,75.031,Under Revision,sewage treatmen,Applicable to sewage treatment methods manufact
IS 1769-2:2021,Quality requirem,Food and Agricu,2021,19.099,Under Revision,food colours,"Applicable to food colours manufactured, tested, or"
IS 3821:2020,Quality requirem,Medical Equipme,2020,93.086,Active,orthopedic impla,"Applicable to orthopedic implants manufactured, te"
IS 1899-5:1994,Classification an,Chemical,1994,77.085,Active,pesticides,"Applicable to pesticides manufactured, tested, or so"
IS 4119-4:2009,Guidelines for ind,"Petroleum, Coal",2009,36.081,Active,industrial waxes,"Applicable to industrial waxes manufactured, tested"
IS 1240:2010,Safety requireme,Production and G,2010,52.024,Withdrawn,industrial noise c,"Applicable to industrial noise control manufactured,"
IS 1836-6:1999,Quality requirem,Water Resources,1999,63.018,Active,water pipes and,Applicable to water pipes and fittings manufactured
IS 362-3:1996,Quality requirem,Mechanical Engi,1996,72.053,Under Revision,welding electrode,"Applicable to welding electrodes manufactured, tes"
IS 3926-5:2000,Code of practice,Textile,2000,32.05,Active,woven fabrics,"Applicable to woven fabrics manufactured, tested, o"
IS 1275-4:1995,Methods of test f,Production and G,1995,52.06,Withdrawn,industrial noise c,"Applicable to industrial noise control manufactured,"
IS 4100-5:2020,Classification an,"Petroleum, Coal",2020,40.071,Under Revision,petroleum jelly,"Applicable to petroleum jelly manufactured, tested,"
IS 1833-5:1992,Code of practice,Water Resources,1992,65.07,Under Revision,groundwater rech,Applicable to groundwater recharge structures man
IS 3701-6:2017,Safety requireme,Transport Engine,2017,25.069,Active,automotive lightin,"Applicable to automotive lighting manufactured, tes"
IS 1279-6:2011,Sampling and tes,Production and G,2011,27.053,Under Revision,storage racking s,Applicable to storage racking systems manufacture
IS 360-3:2010,Code of practice,Mechanical Engi,2010,39.069,Active,cranes and lifting,Applicable to cranes and lifting equipment manufac
IS 432-6:1995,Safety requireme,Management and,1995,10.031,Withdrawn,supply chain sec,Applicable to supply chain security management m
IS 3791:1990,Performance req,Medical Equipme,1990,93.047,Active,orthopedic impla,"Applicable to orthopedic implants manufactured, te"
IS 1824-6:2021,Classification an,Water Resources,2021,30.079,Withdrawn,desalination equ,Applicable to desalination equipment manufactured
IS 3819:2020,Methods of test f,Medical Equipme,2020,26.068,Active,surgical instrume,"Applicable to surgical instruments manufactured, te"
IS 380-3:2014,Sampling and tes,Mechanical Engi,2014,39.051,Active,cranes and lifting,Applicable to cranes and lifting equipment manufac
IS 1844-4:1995,Methods of test f,Water Resources,1995,10.098,Withdrawn,rainwater harves,Applicable to rainwater harvesting systems manufa
